# program=RunicWorldGame.exe functions=27733 matched=408
FUN_0097 | FUN_00970370 @ 00970370 size=193
FUN_0097 | FUN_00970440 @ 00970440 size=217
FUN_0097 | FUN_00970520 @ 00970520 size=240
FUN_0097 | FUN_00970610 @ 00970610 size=32
FUN_0097 | FUN_00970630 @ 00970630 size=37
FUN_0097 | FUN_00970660 @ 00970660 size=193
FUN_0097 | FUN_00970730 @ 00970730 size=55
FUN_0097 | FUN_00970770 @ 00970770 size=68
FUN_0097 | FUN_009707c0 @ 009707c0 size=25
FUN_0097 | FUN_009707e0 @ 009707e0 size=32
FUN_0097 | FUN_00970800 @ 00970800 size=37
FUN_0097 | FUN_00970830 @ 00970830 size=114
FUN_0097 | FUN_009708b0 @ 009708b0 size=301
FUN_0097 | FUN_009709e0 @ 009709e0 size=114
FUN_0097 | FUN_00970a60 @ 00970a60 size=344
FUN_0097 | FUN_00970bc0 @ 00970bc0 size=114
FUN_0097 | FUN_00970c40 @ 00970c40 size=301
FUN_0097 | FUN_00970d70 @ 00970d70 size=114
FUN_0097 | FUN_00970df0 @ 00970df0 size=344
FUN_0097 | FUN_00970f50 @ 00970f50 size=124
FUN_0097 | FUN_00970fd0 @ 00970fd0 size=126
FUN_0097 | FUN_00971050 @ 00971050 size=117
FUN_0097 | FUN_009710d0 @ 009710d0 size=188
FUN_0097 | FUN_00971190 @ 00971190 size=25
FUN_0097 | FUN_009711b0 @ 009711b0 size=32
FUN_0097 | FUN_009711d0 @ 009711d0 size=37
FUN_0097 | FUN_00971200 @ 00971200 size=51
FUN_0097 | FUN_00971240 @ 00971240 size=70
FUN_0097 | FUN_00971290 @ 00971290 size=203
FUN_0097 | FUN_00971360 @ 00971360 size=89
FUN_0097 | FUN_009713c0 @ 009713c0 size=300
FUN_0097 | FUN_009714f0 @ 009714f0 size=67
FUN_0097 | FUN_00971540 @ 00971540 size=130
FUN_0097 | FUN_009715d0 @ 009715d0 size=114
FUN_0097 | FUN_00971650 @ 00971650 size=417
FUN_0097 | FUN_00971800 @ 00971800 size=259
FUN_0097 | FUN_00971910 @ 00971910 size=96
FUN_0097 | FUN_00971970 @ 00971970 size=94
FUN_0097 | FUN_009719d0 @ 009719d0 size=70
FUN_0097 | FUN_00971a20 @ 00971a20 size=25
