addr	how	frozen	evidence
00401010	annotated	operator new	tag in lib/squall/storm/Memory.cpp
00401030	annotated	operator delete[]	tag in lib/squall/storm/Memory.cpp
00401050	callorder	CDataStore::CDataStore	same slot between linked calls in 00516610=Script_RandomRoll
00401070	annotated	CDataStore::FetchWrite	tag in lib/common/common/datastore/CDataStore.cpp
00401200	annotated	ComparePatchArchives	tag in src/client/Archive.cpp
00401280	handler	NotifyHandler	SetMessageHandler(SMSG_NOTIFICATION) on both sides
00401390	handler	PlayedTimeHandler	SetMessageHandler(SMSG_PLAYED_TIME) on both sides
00401480	handler	TransferPendingHandler	SetMessageHandler(SMSG_TRANSFER_PENDING) on both sides
004015e0	annotated	MouseSpeedCallback	tag in src/client/Client.cpp
00401600	annotated	ErrorsCallback	tag in src/client/Client.cpp
00401650	annotated	ShowErrorsCallback	tag in src/client/Client.cpp
004017c0	annotated	ErrorLevelMinCallback	tag in src/client/Client.cpp
00401800	annotated	ErrorLevelMaxCallback	tag in src/client/Client.cpp
00401a10	annotated	ErrorFilterCallback	tag in src/client/Client.cpp
00401a30	cvar	GammaCallback	callback of CVar::Register("Gamma") on both sides
00401a80	cvar	DesktopGammaCallback	callback of CVar::Register("DesktopGamma") on both sides
00401b20	annotated	ScreenshotFormatCallback	tag in src/client/Client.cpp
00401b40	annotated	ScreenshotQualityCallback	tag in src/client/Client.cpp
00401b60	annotated	ClientRegisterConsoleCommands	tag in src/client/Client.cpp
00402100	annotated	M2ConvertFasterFlags	tag in src/model/Model2.cpp
004021c0	annotated	M2FasterChanged	tag in src/model/Model2.cpp
00402210	annotated	M2DebugFasterChanged	tag in src/model/Model2.cpp
00402250	cvar	UIFasterCalllback	callback of CVar::Register("UIFaster") on both sides
00402320	cvar	TextureCacheSizeCallback	callback of CVar::Register("textureCacheSize") on both sides
004023c0	annotated	TextureFilteringCallback	tag in src/client/Client.cpp
00402410	cvar	BatchDoodadsCallback	callback of CVar::Register("M2BatchDoodads") on both sides
00402470	annotated	BatchParticlesCallback	tag in src/model/Model2.cpp
004024d0	annotated	ForceAdditiveParticleSortCallback	tag in src/model/Model2.cpp
00402760	string	M2RegisterCVars	unique "M2BatchDoodads"
00402b90	annotated	HasCommonArchiveLayout	tag in src/client/Archive.cpp
00403320	cvar	LocaleChangedCallback	callback of CVar::Register("locale") on both sides
004033c0	sticky	CGTooltip::GetObjectType	held from the previous run, where it was sticky
00403760	callgraph	TSGrowableArray<char *>::Reserve	only unmatched callee of 00405a10=AddPatchArchive
00403880	override	CDataStore::~CDataStore	
004038f0	annotated	CGPlayer_C::GetActivePtr	tag in src/object/client/CGPlayer_C.cpp
00403910	handler	TransferAbortedHandler	SetMessageHandler(SMSG_TRANSFER_ABORTED) on both sides
00403b70	callorder	LoadNewWorld	same slot between linked calls in 00403de0=LoginVerifyWorldHandler
00403d10	handler	NewWorldHandler	SetMessageHandler(SMSG_NEW_WORLD) on both sides
00403de0	handler	LoginVerifyWorldHandler	SetMessageHandler(SMSG_LOGIN_VERIFY_WORLD) on both sides
00404930	annotated	OpenTableArchive	tag in src/client/Archive.cpp
00405540	string	ClientInitializeGame	unique "Bad zone ID %i"
00405a10	annotated	AddPatchArchive	tag in src/client/Archive.cpp
00405ab0	annotated	BuildPatchArchiveList	tag in src/client/Archive.cpp
00405dd0	annotated	Sub405DD0	tag in src/client/Client.cpp
00406740	annotated	ProcessRunOnceFiles	tag in src/client/Client.cpp
004067f0	string	InitializeGlobal	unique "Config.wtf"
00406b70	annotated	Sub406B70	tag in src/client/Client.cpp
004079d0	annotated	CalcProgress	tag in src/gx/LoadingScreen.cpp
00407b00	annotated	RegisterEvents	tag in src/gx/LoadingScreen.cpp
00407bd0	annotated	UnregisterEvents	tag in src/gx/LoadingScreen.cpp
00407e30	annotated	LoadingScreenSetTip	tag in src/gx/LoadingScreen.cpp
00407f40	annotated	C44Matrix::Identity	tag in lib/typhoon/tempest/matrix/C44Matrix.cpp
00408070	callorder	GxXformViewport	same slot between linked calls in 0040a270=Paint
00408490	override	TSGrowableArray<unsigned __int64>::Reserve	
00408520	annotated	KeepAlive	tag in src/gx/LoadingScreen.cpp
00408bf0	annotated	GxRsSet	tag in src/gx/RenderState.cpp
004090c0	annotated	DrawBar	tag in src/gx/LoadingScreen.cpp
00409550	annotated	LoadingScreenFinish	tag in src/gx/LoadingScreen.cpp
00409670	override	GxRsPush	
00409800	annotated	ClientPlayerModelReady	tag in src/client/Client.cpp
00409ed0	annotated	LoadBackgroundTexture	tag in src/gx/LoadingScreen.cpp
0040a270	annotated	Paint	tag in src/gx/LoadingScreen.cpp
0040a920	annotated	LoadingScreenUpdate	tag in src/gx/LoadingScreen.cpp
0040a990	annotated	Begin	tag in src/gx/LoadingScreen.cpp
0040ab70	annotated	LoadingScreenStart	tag in src/gx/LoadingScreen.cpp
0040aef0	annotated	LoadingScreenSetProgress2	tag in src/gx/LoadingScreen.cpp
0040af90	annotated	LoadingScreenSetProgress	tag in src/gx/LoadingScreen.cpp
004209b0	callgraph	CVar::GetInt	only unmatched callee of 00401b60=ClientRegisterConsoleCommands
00421880	callgraph	SFile::GetBasePath	only unmatched callee of 00768340=CVar::Initialize
004218c0	callorder	SFile::GetFileSize	same slot between linked calls in 004b8910=CreateBlpSync
00421ca0	callorder	SFile::Unload	same slot between linked calls in 004dcd60=Script_GetCreditsText
00421f50	string	CalculateMpqHashSha1	unique "ARCHIVE"
00422130	override	SFile::IsStreamingMode	
00422140	callgraph	SFile::IsStreamingTrial	only unmatched callee of 004e0dd0=Script_GetCreateBackgroundModel
00422530	override	SFile::Read	
00422910	override	SFile::Close	
00424b10	sticky	FrameXML_SetProgressCallback	held from the previous run, where it was sticky
00424b50	override	SFile::OpenEx	
00424e80	callorder	SFile::Load	same slot between linked calls in 0096da40=CSimpleHTML::LoadXML
00424f80	sticky	SFile::Open	held from the previous run, where it was sticky
00428210	annotated	OsFileMatch	tag in src/util/Filesystem.cpp
00462000	callgraph	OsFileEnumerate	only unmatched callee of 00406740=ProcessRunOnceFiles
00464580	annotated	CRandom::uint32	tag in lib/typhoon/tempest/random/CRandom.cpp
00464640	string	RealmConnection::HandleAuthResponse	unique "SMSG_AUTH_RESPONSE"
00464b30	callgraph	CDataStore::IsRead	only unmatched callee of 00464c10=RealmConnection::HandleCharEnum
00464c10	string	RealmConnection::HandleCharEnum	unique "SMSG_CHAR_ENUM"
00469320	string	WowConnectionNet::Start	unique "NetThread %d"
004749b0	callorder	BZ2_bz__AssertH__fail	same slot between linked calls in 0047ac70=BZ2_blockSort
00474f50	override	sendMTFValues	
00476db0	override	BZ2_decompress	
00479860	string	fallbackSort	unique "        depth %6d has "
0047a5d0	override	mainSort	
0047ac70	string	BZ2_blockSort	unique "      %d work, %d block, ratio %5.2f "
0047ae50	override	CDataStore::InternalDestroy	
0047af40	annotated	CDataStore::Set	tag in lib/common/common/datastore/CDataStore.cpp
0047afe0	override	CDataStore::Put	
0047b040	annotated	CDataStore::Put	tag in lib/common/common/datastore/CDataStore.cpp
0047b0a0	override	CDataStore::Put	
0047b100	override	CDataStore::Put	
0047b1c0	annotated	CDataStore::PutArray	tag in lib/common/common/datastore/CDataStore.cpp
0047b280	annotated	CDataStore::PutData	tag in lib/common/common/datastore/CDataStore.cpp
0047b290	override	CDataStore::FetchRead	
0047b300	override	CDataStore::PutString	
0047b340	override	CDataStore::Get	
0047b3c0	override	CDataStore::Get	
0047b400	override	CDataStore::Get	
0047b440	override	CDataStore::Get	
0047b480	override	CDataStore::GetString	
0047be50	sticky	SUniSPutUTF8	held from the previous run, where it was sticky
0047bf30	override	HandleClose	
0047bf50	override	HandleCreate	
0047bf70	callgraph	HandleDuplicate	only unmatched callee of 00978bf0=CM2ParticleEmitter::SetMaterial
0047bf90	override	CoordinateSetAspectRatio	
0047bfe0	override	CoordinateGetAspectCompensation	
0047bff0	annotated	NDCToDDC	tag in src/gx/Coordinate.cpp
0047c020	annotated	DDCToNDC	tag in src/gx/Coordinate.cpp
0047c050	override	DDCToNDCWidth	
0047c060	annotated	DDCToNDCHeight	tag in src/gx/Coordinate.cpp
0047c070	override	NDCToDDCWidth	
0047c080	annotated	NDCToDDCHeight	tag in src/gx/Coordinate.cpp
0047c360	sticky	CStatus::Add	held from the previous run, where it was sticky
0047cc90	override	operator delete	
0047cf80	override	RCString::Copy	
0047d230	callgraph	EventIsKeyDown	only unmatched callee of 00514430=Script_IsModifierKeyDown, 005144c0=Script_IsLeftShiftKeyDown, 00514520=Script_IsRightShiftKeyDown
0047d3c0	callgraph	EventRegisterEx	only unmatched callee of 00407b00=RegisterEvents
0047d790	callorder	EventUnregister	same slot between linked calls in 009860e0=SI2::StopGlueMusic
0047f230	string	SchedulerThreadProc	unique "Engine %x"
0047f2f0	string	IEvtSchedulerInitialize	unique "EvtSched#%d"
004815e0	callgraph	CSimpleTexture::GetObjectType	only unmatched callee of 0048c670=CSimpleTexture_GetTexture
00481620	annotated	CSimpleTexture::SetBlendMode	tag in src/ui/simple/CSimpleTexture.cpp
00481640	callgraph	CSimpleTexture::SetTexCoord	only unmatched callee of 0048c860=CSimpleTexture_SetRotation
004816a0	annotated	CSimpleTexture::GetTexCoord	tag in src/ui/simple/CSimpleTexture.cpp
00481700	callgraph	CSimpleTexture::SetShader	only unmatched callee of 0048c9a0=CSimpleTexture_SetDesaturated
00481740	annotated	CSimpleTexture::AddAnimTranslation	tag in src/ui/simple/CSimpleTexture.cpp
00481770	annotated	CSimpleTexture::AddAnimRotation	tag in src/ui/simple/CSimpleTexture.cpp
004817a0	annotated	CSimpleTexture::AddAnimScale	tag in src/ui/simple/CSimpleTexture.cpp
004817d0	annotated	CSimpleTexture::GetWidth	tag in src/ui/simple/CSimpleTexture.cpp
00481850	annotated	CSimpleTexture::GetHeight	tag in src/ui/simple/CSimpleTexture.cpp
004818f0	callorder	CSimpleFontString::SetTextLength	same slot between linked calls in 004873e0=CSimpleFontString::LoadXML
00482110	callorder	LanguageProcess	same slot between linked calls in 00483910=CSimpleFontString::SetText
004826d0	annotated	CRect::Sub4826D0	tag in lib/typhoon/tempest/rect/CRect.cpp
00482720	annotated	CSimpleFontString::AddAnimTranslation	tag in src/ui/simple/CSimpleFontString.cpp
00482aa0	override	FrameScript_Object::GetDisplayName	
00482d10	callgraph	CSimpleFontString::SetFont	only unmatched callee of 004a3a50=FontString_SetFont
00483060	string	CSimpleTexture::Init	unique "Desaturate"
